AwardID,CreatorID,AwardName,AwardYear
56329,213884173,Emmy Award,2017-01-02
15794,247868304,Cannes Palme d’Or,2002-11-25
42951,307986913,Critics’ Choice Award,2005-09-17
48328,259954688,Golden Frame Award,2007-04-03
14392,229405969,Critics’ Choice Award,2014-06-15
64864,398230083,Cannes Palme d’Or,2018-03-02
72542,263949475,The Platinum Scene Award,2007-12-27
39098,290271007,MTV Movie & TV Award,2002-08-03
77766,346800241,New Media Film Festival Award,2013-07-12
48396,316813081,New Media Film Festival Award,2010-12-26
49994,281403865,Hollywood Film Award,2007-12-24
62267,239545616,The Platinum Scene Award,2002-01-02
53451,272826133,Sundance Grand Jury Prize,2006-02-14
14411,265782899,The Platinum Scene Award,2006-06-19
27358,292709712,Sundance Grand Jury Prize,2020-07-09
96709,274260761,Cannes Palme d’Or,2002-05-02
30414,338953999,Cannes Palme d’Or,2004-04-02
87546,303045003,Hollywood Film Award,2001-07-08
95964,263338655,The Narrative Distinction Medal,2014-03-05
96127,244505470,Sundance Grand Jury Prize,2013-06-19
24935,394104393,MTV Movie & TV Award,1999-09-30
11734,349433867,Hollywood Film Award,2021-09-08
68269,270847430,Independent Spirit Award,1998-08-13
87549,295826935,New Media Film Festival Award,2023-07-08
20063,374726448,Hollywood Film Award,2019-03-26
92977,202222049,Golden Frame Award,2016-04-10
33006,233286953,Golden Globe Award,2005-08-11
51436,335382732,The Narrative Distinction Medal,2016-12-12
11559,297824072,New Media Film Festival Award,2015-10-07
62077,351109058,BAFTA Award,2016-04-23
34547,261673166,MTV Movie & TV Award,2017-03-04
68188,382290274,Creative Impact Award,2004-04-18
56836,372353849,Creative Impact Award,2010-11-14
29006,268764246,Critics’ Choice Award,2004-01-01
75786,253157516,Cannes Palme d’Or,2019-07-30
63717,391976998,Independent Spirit Award,2005-05-06
30815,389318221,The Platinum Scene Award,2024-11-25
14023,291605679,Creative Impact Award,2021-07-01
37372,383001351,Creative Impact Award,1997-09-10
81257,244981461,Golden Frame Award,2010-12-01
46200,273364028,Independent Spirit Award,2009-11-25
18620,230985062,The Narrative Distinction Medal,2016-02-02
55223,208382609,The Narrative Distinction Medal,2014-06-04
51785,356108620,Sundance Grand Jury Prize,2000-09-02
69130,261535236,BAFTA Award,2010-04-20
48327,240780076,Critics’ Choice Award,2008-06-20
55590,268590989,New Media Film Festival Award,2009-04-08
62474,324215421,BAFTA Award,2000-12-25
19528,286459306,Creative Impact Award,2019-02-15
38679,369072388,The Narrative Distinction Medal,2007-09-15
94898,355913352,MTV Movie & TV Award,2006-06-10
31497,281403865,Cannes Palme d’Or,2002-01-12
56592,354272401,Golden Globe Award,2009-04-04
94930,279898858,The Platinum Scene Award,2024-05-21
15556,313890259,Hollywood Film Award,2019-09-09
86527,389514111,New Media Film Festival Award,2004-05-19
18480,398230083,The Narrative Distinction Medal,2007-03-08
30862,393449708,MTV Movie & TV Award,2008-03-23
78233,326823719,Independent Spirit Award,2002-07-22
76854,245367763,MTV Movie & TV Award,2010-07-24
12834,239545616,The Narrative Distinction Medal,2021-10-22
93079,272793012,Sundance Grand Jury Prize,2020-08-03
76505,243794872,Independent Spirit Award,2022-06-07
44732,310172353,MTV Movie & TV Award,1998-10-14
29282,354314822,BAFTA Award,1999-03-24
26723,283010554,Golden Frame Award,2014-05-15
73881,327313839,Critics’ Choice Award,2001-05-30
53333,255383870,Golden Frame Award,2015-08-10
55626,332491782,Sundance Grand Jury Prize,2011-12-23
54900,338338714,Golden Globe Award,2012-12-11
19178,384217235,The Narrative Distinction Medal,2011-05-29
19547,243794872,Independent Spirit Award,2005-07-12
35899,239550268,Hollywood Film Award,2015-08-23
54918,279742148,Hollywood Film Award,2019-06-04
71702,209809550,BAFTA Award,1998-01-30
97452,248610562,MTV Movie & TV Award,2013-01-07
89020,328491055,Golden Frame Award,2010-09-19
84150,246697493,MTV Movie & TV Award,2005-02-19
51659,348904436,Hollywood Film Award,2011-09-14
29118,227596814,Hollywood Film Award,2008-03-29
88337,241205631,Emmy Award,2008-03-02
24728,229038059,Hollywood Film Award,2003-11-25
54334,337722385,The Narrative Distinction Medal,2000-09-19
42780,207364382,Golden Globe Award,2015-02-09
99967,256128697,New Media Film Festival Award,2005-05-04
22026,332379006,Cannes Palme d’Or,1999-09-10
86924,366577676,Critics’ Choice Award,2005-01-02
32565,380968823,The Narrative Distinction Medal,1998-03-07
18550,239530457,Golden Frame Award,2016-09-30
50898,355399952,Golden Frame Award,2008-06-19
22928,212668880,Sundance Grand Jury Prize,2013-03-21
70222,376953743,BAFTA Award,2018-05-20
61972,297056571,Emmy Award,2007-09-13
95058,285639417,Emmy Award,2015-08-19
66205,332491782,Golden Frame Award,1999-07-17
15796,230235731,Emmy Award,2015-09-19
29212,284316004,New Media Film Festival Award,2005-02-26
81063,300617701,Creative Impact Award,2007-05-07
13871,316527657,MTV Movie & TV Award,2016-01-06
53331,292461119,MTV Movie & TV Award,2023-09-04
36070,362539177,The Platinum Scene Award,2005-04-21
67938,212080359,Independent Spirit Award,2016-06-04
85579,299228277,New Media Film Festival Award,2011-10-04
80124,356629438,Golden Globe Award,2001-05-25
94969,232847016,Golden Frame Award,2015-09-08
15499,287119921,Golden Frame Award,2015-02-10
33975,266444021,Hollywood Film Award,2024-01-03
80206,300175215,Golden Globe Award,2004-02-23
24789,288549523,New Media Film Festival Award,2011-10-12
23839,357180694,Golden Globe Award,2006-01-08
20442,285420974,The Platinum Scene Award,2006-06-12
95664,255383870,Sundance Grand Jury Prize,2020-12-13
41252,311798135,Sundance Grand Jury Prize,2014-12-11
