ProductionID,Title,ProductionType,ReleaseDate,Genre,ProductionRating
1,Pervert''s Guide to Ideology,The,313,2004-09-24,Documentary,2.5
2,Oversimplification of Her Beauty,743,1994-01-05,Animation|Comedy|Drama|Romance,5.3
3,The Cop in Blue Jeans,261,2004-06-19,Action|Crime|Drama,7.2
4,Shelter,166,2006-02-19,Drama|Romance,2.5
5,Rocky Saga: Going the Distance,The,328,2020-11-08,Documentary,7.9
6,The Fool,231,1992-08-19,Drama,5.9
7,Love & Savagery,579,2009-11-17,Drama|Romance,1.8
8,Paranoia,477,1997-03-13,Drama|Thriller,3.2
9,Repulsion,533,1994-07-24,Drama|Horror,1.9
10,Brothers: The Return,109,1993-02-12,Crime|Drama|Thriller,9.0
11,Twice Upon a Time,732,1990-07-04,Animation|Fantasy,9.5
12,Detour,466,2014-03-08,Crime|Film-Noir,8.9
13,Luther the Geek,699,2008-04-26,Horror,4.5
16,Fifty Dead Men Walking,522,2010-10-21,Action|Drama|Thriller,9.1
17,Superhero Movie,714,2006-01-08,Action|Comedy|Sci-Fi,8.2
18,Fugly!,651,1990-12-16,Comedy,8.3
19,Humboldt County,785,1995-02-08,Comedy|Drama,1.6
20,Sign of Four,The,423,1995-04-05,Adventure|Crime|Drama,8.3
21,Living Free,720,2002-07-29,Adventure|Children|Drama,9.0
22,Forever Hardcore: The Documentary,699,2018-05-28,Documentary,6.4
23,Heaven Knows,Mr. Allison,98,2009-04-29,Drama|War,8.5
24,Whom the Gods Wish to Destroy ,274,1993-04-08,Adventure|Fantasy,8.2
25,21-87,246,2003-11-21,Documentary,4.4
26,Albino Alligator,797,1995-07-10,Crime|Thriller,7.6
27,Da Vinci Code,The,777,2021-11-11,Drama|Mystery|Thriller,1.4
28,Twilight of the Golds,The,544,2022-05-03,Drama,6.7
29,Puncture,311,2022-11-05,Drama,3.1
30,Vincere,562,1992-03-01,Drama|Romance,1.3
31,Gold Diggers of 1935,351,2000-11-02,Comedy|Musical,3.7
32,Feast at Midnight,A,314,2000-09-21,Children|Comedy|Drama,3.1
33,American Mary,69,2005-01-01,Horror|Thriller,4.7
34,Executive Action,680,1994-10-21,Crime|Drama,7.9
35,Magnum Force,167,2012-03-02,Action|Crime|Drama|Thriller,3.1
37,You,Me and Dupree,590,1991-10-13,Comedy,10.0
39,Miral,23,2005-01-31,Drama,3.2
43,Chef in Love,788,2022-10-26,Comedy|Romance,5.8
44,Black Field,383,1998-12-16,Drama|Romance,7.1
45,Trigun: Badlands Rumble,48,2011-04-07,Action|Animation|Sci-Fi|Western,3.7
46,Woman Obsessed,701,2013-08-15,Drama|Romance,8.2
48,Crowd,The,342,2007-10-05,Drama,5.9
50,Children of the Corn: Genesis,293,2007-01-07,Horror|Thriller,3.3
53,Undercover Blues,716,2000-02-27,Comedy|Crime,8.4
54,Young Girls of Rochefort,497,1998-10-06,Comedy|Musical|Romance,9.3
55,Honeymoon,485,2016-07-16,Comedy|Romance,1.1
56,Astro Boy,644,1992-08-14,Action|Animation|Children|Sci-Fi,5.9
57,Big Miracle,571,2003-07-29,Drama|Romance,4.8
58,Lost,The,122,2015-04-28,Thriller,4.0
59,Pirates of the Great Salt Lake,599,2006-10-11,Adventure|Comedy,3.4
60,Mission: Impossible II,394,2012-10-28,Action|Adventure|Thriller,7.7
61,Ten Commandments,The,451,1994-12-08,Adventure|Drama,8.9
62,Lost Son,The,567,2018-11-12,Drama,7.5
63,From Hell It Came,349,2011-11-19,Horror,8.6
64,Experimenter,14,2005-06-20,Drama,3.3
65,Remember the Day,595,2004-03-20,Drama|Romance|War,3.3
66,Men in Black III,532,1996-10-19,Action|Comedy|Sci-Fi|IMAX,2.4
67,Kozara,480,2014-03-13,Drama|War,9.6
68,Stepfather,The,217,1995-11-12,Horror|Thriller,8.5
69,Down in the Delta,778,1990-09-17,Drama,2.5
70,10 Rillington Place,40,1995-11-10,Crime|Drama|Thriller,3.3
71,Maidens in Uniform ,783,2008-10-05,Drama|Romance,3.4
72,Sparks,791,2005-02-18,Action|Fantasy|Mystery|Sci-Fi|Thriller,2.0
73,Ace of Aces ,90,2013-09-26,Adventure|Comedy,2.6
74,Infestation,594,1995-07-01,Action|Comedy|Sci-Fi,1.9
75,Trailer Park Boys: Countdown to Liquor Day,595,1991-09-02,Comedy|Crime,5.4
76,Scott Pilgrim vs. the World,53,1993-10-18,Action|Comedy|Fantasy|Musical|Romance,3.4
78,Fubar,348,1998-04-27,Comedy,8.3
79,Woman,The,4,2021-03-13,Horror,2.5
80,Hexed,223,2009-09-25,Comedy,1.6
82,Ex-Girlfriends,168,2019-09-09,Comedy|Drama,8.4
83,Jennifer''s Body,276,2000-11-15,Comedy|Horror|Sci-Fi|Thriller,2.2
84,Sisters,The,253,2001-06-17,Drama,8.2
86,Ripe,684,2017-12-01,Drama,3.3
87,Lethal Weapon 4,433,1996-09-05,Action|Comedy|Crime|Thriller,4.3
88,Welcome Farewell-Gutmann ,398,2013-04-04,Comedy|Drama,7.4
89,Last Passenger,322,2023-12-03,Action|Mystery|Thriller,8.1
90,Under the Bombs,87,2012-12-29,Drama|War,9.7
91,Dogma,694,2011-04-07,Adventure|Comedy|Fantasy,8.1
92,Emerald Cowboy,720,2012-02-05,Documentary|Drama,9.8
93,Tetsuo II: Body Hammer,454,2021-07-03,Horror|Sci-Fi,8.1
94,Order and Disorder,482,2019-03-19,Documentary,8.8
95,Pancho,the Millionaire Dog,104,2010-08-22,Children|Comedy,9.4
96,Hearts Divided,189,2023-03-17,Drama|Romance,6.6
97,The Stranger''s Return,333,1997-12-08,Comedy|Drama,7.6
98,Frankenweenie,596,2002-04-29,Animation|Comedy|Horror|IMAX,2.8
99,In a Town This Size,17,2013-02-14,Documentary,9.0
100,Night of the Demons,390,2006-11-27,Horror,4.5
101,Hebrew Hammer,The,330,1996-11-27,Comedy,5.0
102,LUV,509,2009-04-10,Drama,9.6
104,Scary Movie,546,2022-09-15,Comedy|Horror,8.0
107,Lookin'' to Get Out,691,1993-08-15,Comedy,1.6
108,God Who Wasn''t There,The,198,2020-06-01,Documentary,5.4
109,Suddenly,Last Summer,374,2003-06-20,Drama,1.4
110,Looker,636,1997-04-01,Drama|Horror|Sci-Fi|Thriller,1.8
