ContractID,CreatorID,ProductionID,StartDate,EndDate,Payment,RoleContract
1,33,511,2005-01-11,2022-11-01,25243.65,Supervisor
2,483,101,1999-02-24,2025-04-13,64622.52,Director
3,9,84,2010-06-06,2029-04-07,36614.79,Writer
4,237,388,2012-09-01,2026-12-13,41515.14,Producer
5,579,737,2002-10-21,2026-02-08,11604.93,Actor
6,707,268,2003-10-07,2025-08-31,38973.47,Writer
7,751,367,2014-11-18,2029-02-17,65507.47,Actor
8,637,315,2019-12-07,2022-05-13,19588.72,Main
9,26,31,2016-07-01,2022-05-02,51753.49,Co-Producer
10,139,179,1991-01-07,2022-11-12,34267.43,Producer
11,362,750,2009-07-21,2023-01-08,16739.16,Co-Producer
12,371,190,2016-07-09,2024-10-13,66632.43,Main
13,535,591,1999-07-12,2025-11-21,11522.25,Director
14,432,392,2013-05-10,2022-08-26,25994.23,Director
15,468,143,2005-05-27,2024-04-30,64990.76,Director
16,545,305,2008-02-21,2024-02-07,14637.93,Co-Producer
17,203,554,1993-10-03,2022-12-15,69656.79,Main
18,126,482,2011-09-03,2026-08-23,63899.35,Co-Producer
19,271,795,1992-02-20,2024-05-11,20259.6,Director
20,9,727,1999-09-17,2025-10-18,68317.34,Director
21,521,58,1995-03-02,2029-03-08,24870.92,Producer
22,675,622,2004-09-17,2022-07-02,60021.82,Director
23,355,639,1991-07-25,2027-05-23,62715.48,Actor
24,600,475,2015-01-20,2028-01-08,77102.36,Main
25,259,326,2000-09-22,2025-07-03,61644.05,Actor
26,496,547,1997-02-01,2023-10-20,25663.6,Co-Producer
27,41,245,1996-11-04,2022-06-03,66982.53,Director
28,260,494,1991-08-04,2028-10-02,29171.3,Producer
29,722,478,2000-12-01,2028-08-08,36033.02,Producer
30,389,647,2000-08-21,2022-11-15,39398.47,Supervisor
31,385,443,2005-11-18,2027-04-06,20893.05,Actor
32,92,378,2015-09-15,2024-05-11,37475.43,Main
33,353,672,2019-06-01,2028-12-18,13066.21,Main
34,126,273,1998-06-26,2027-05-25,44222.73,Supervisor
35,386,553,2014-05-25,2027-10-13,43416.05,Producer
36,712,41,2008-06-22,2027-11-04,18372.98,Writer
37,796,774,1999-03-17,2024-05-08,52789.0,Writer
38,315,189,1994-01-07,2022-07-12,13394.17,Writer
39,50,711,2006-06-15,2023-10-19,67044.58,Producer
40,442,202,2003-10-15,2026-07-13,51935.9,Co-Producer
41,250,440,2002-02-01,2025-05-30,44151.24,Actor
42,452,635,1996-03-07,2023-02-01,69283.35,Director
43,110,524,2007-09-23,2027-04-29,38477.73,Actor
44,541,451,2013-01-30,2026-04-10,38276.96,Main
45,602,600,2016-01-27,2024-07-15,57937.7,Supervisor
46,430,141,1992-03-16,2026-04-30,70663.43,Supervisor
47,59,262,1993-12-14,2028-08-13,55146.07,Director
48,777,691,1992-12-18,2024-06-20,51262.43,Co-Producer
49,48,205,2012-05-15,2027-08-21,29059.85,Supervisor
50,273,591,2009-01-09,2024-04-26,23019.94,Director
51,688,698,1998-02-04,2027-01-03,14868.59,Actor
52,404,69,2015-01-20,2025-06-23,36272.17,Co-Producer
53,493,47,1997-10-25,2024-04-18,36016.62,Writer
54,106,108,2004-02-13,2026-06-20,21394.03,Supervisor
55,301,676,2000-07-15,2023-03-09,54375.03,Supervisor
56,398,458,2012-03-22,2023-01-07,25516.48,Director
57,509,738,1992-04-29,2026-07-10,42211.62,Co-Producer
58,423,295,2020-11-12,2024-09-24,40103.66,Producer
59,242,613,1991-09-18,2028-12-12,30905.58,Actor
60,81,627,2004-02-18,2027-04-28,68658.33,Director
61,584,685,2020-03-18,2028-02-28,32120.14,Actor
62,273,158,1993-01-15,2029-04-05,19221.02,Actor
63,102,467,1993-09-07,2023-12-13,59552.96,Director
64,38,222,2011-06-25,2026-09-15,57122.13,Actor
65,699,210,1996-01-07,2023-08-08,15089.44,Director
66,265,687,1998-10-02,2027-12-24,13771.57,Actor
67,709,197,2004-08-24,2025-05-30,59718.06,Producer
68,418,137,1997-05-14,2023-08-16,58477.13,Producer
69,330,444,2000-01-08,2027-09-26,73301.44,Writer
70,119,675,2008-10-26,2022-05-04,72477.33,Actor
71,139,164,1993-04-05,2027-10-14,40055.71,Producer
72,605,223,2016-08-09,2028-11-18,15279.1,Main
73,435,457,2021-03-12,2023-03-18,36287.18,Main
74,649,433,2019-09-06,2025-11-15,59076.93,Writer
75,420,672,2013-11-23,2025-01-14,32494.64,Main
76,331,496,1996-03-28,2022-07-22,39672.82,Director
77,654,364,2016-03-29,2029-04-09,21540.45,Director
78,631,577,2012-05-15,2025-09-23,38974.92,Director
79,55,694,1999-01-18,2022-10-29,26888.48,Director
80,692,49,2000-01-24,2024-10-14,39781.96,Main
81,181,298,2021-07-21,2022-12-23,50080.82,Supervisor
82,365,200,2022-03-30,2024-07-07,52189.7,Actor
83,762,387,2018-02-24,2027-03-11,75770.29,Main
84,771,38,2003-09-28,2027-01-22,34738.72,Actor
85,271,371,2003-09-27,2022-05-26,34338.01,Co-Producer
86,633,222,2002-12-25,2023-03-08,53096.13,Co-Producer
87,106,391,2008-05-19,2023-10-31,48394.06,Director
88,587,662,2014-12-10,2023-02-02,39391.56,Co-Producer
89,95,543,2013-07-24,2024-03-15,18343.6,Actor
90,640,461,2021-06-26,2024-03-31,10127.67,Co-Producer
91,136,641,2012-11-17,2026-01-02,63980.04,Actor
92,540,766,1999-06-19,2026-09-20,78862.75,Director
93,629,287,2018-08-21,2022-09-16,33454.12,Co-Producer
94,534,252,1996-06-01,2026-09-02,76137.88,Writer
95,721,72,1992-05-16,2024-06-05,57012.01,Supervisor
96,140,264,2004-09-26,2028-07-10,55022.63,Actor
97,27,208,2006-07-14,2028-03-30,34984.23,Supervisor
98,474,442,2016-12-31,2028-11-27,72444.44,Co-Producer
99,62,735,2003-09-24,2024-12-30,75776.65,Actor
100,515,272,2007-01-26,2024-10-17,60155.45,Writer
101,601,617,1998-07-30,2024-05-20,25006.5,Co-Producer
102,713,32,2015-03-04,2026-10-03,63277.89,Producer
103,611,116,2018-09-16,2025-07-08,76977.16,Writer
104,382,783,1993-12-07,2023-06-25,73225.51,Main
105,22,692,2020-06-21,2028-03-22,18392.31,Producer
106,646,281,2013-05-23,2027-12-13,10965.48,Director
107,163,503,1993-06-30,2027-06-22,33307.63,Writer
108,221,800,1992-09-13,2029-02-10,78452.76,Supervisor
109,160,355,1998-04-05,2022-06-01,34093.31,Supervisor
110,765,276,2020-01-08,2024-10-06,62589.18,Main
111,361,65,1995-11-29,2024-09-30,57873.7,Main
112,715,741,2016-02-15,2027-05-26,41946.74,Co-Producer
113,202,539,1996-11-24,2023-06-12,62776.55,Main
114,494,101,2006-02-13,2024-09-07,66867.32,Actor
115,464,761,1997-06-30,2027-08-05,32536.08,Co-Producer
116,175,18,1996-02-26,2025-01-02,66756.26,Supervisor
117,439,26,2007-07-23,2028-09-12,68415.69,Supervisor
118,47,47,2016-05-28,2027-05-09,62785.64,Writer
119,761,90,1997-06-18,2028-02-12,64030.97,Director
120,710,14,2020-04-25,2026-08-31,11497.37,Actor
121,507,343,2002-06-30,2024-04-14,24808.24,Writer
122,94,365,1999-08-15,2022-06-04,70558.91,Producer
123,289,677,2004-07-01,2025-07-13,50668.42,Co-Producer
124,199,486,1992-06-10,2028-10-29,74853.72,Main
125,778,234,2015-05-03,2028-11-04,59728.97,Writer
126,583,478,2006-07-23,2023-10-10,15647.38,Producer
127,475,91,1992-04-18,2025-01-17,13980.85,Main
128,106,99,2004-07-09,2022-07-10,64464.46,Producer
129,253,572,2017-10-04,2027-08-09,38336.68,Producer
130,386,172,1998-03-27,2023-05-28,27031.58,Main
131,258,321,1998-03-20,2023-09-09,37686.88,Director
