ProductionID,FeedbackID,AwardID,Title,ProductionType,ReleaseDate,Genre,ProductionRating,ContractID
1,745,799,Eye In The Sky (Gun chung),35,1991-11-04,Crime|Thriller,3.3,768
2,630,554,Valley Uprising,9,2012-12-24,Documentary,7.2,216
3,699,252,Seas Beneath,308,2023-10-07,Action|Drama|War,8.7,727
4,684,252,Luck by Chance,640,2009-05-28,Drama,5.9,800
5,403,322,"Scarlet Dove, The (Tulipunainen kyyhkynen)",371,2018-03-25,Drama|Mystery|Thriller,6.9,591
6,567,80,Three Way,556,1996-11-13,Crime|Drama|Thriller,8.6,322
7,555,731,Mad Max Beyond Thunderdome,298,2003-02-28,Action|Adventure|Sci-Fi,3.6,358
8,95,755,Requiem for a Heavyweight,653,2010-03-11,Drama,8.4,422
9,622,634,Showgirls,14,1992-10-17,Drama,8.7,518
10,449,155,Major League II,551,2019-07-10,Comedy,2.3,13
11,672,476,Executive Suite,523,1998-08-23,Drama,9.6,103
12,170,369,Wind Chill,555,2010-08-31,Drama|Horror|Thriller,9.3,779
13,390,248,Texasville,297,2019-07-13,Drama,7.8,73
14,279,783,Dragon Ball Z: Bojack Unbound (Doragon bôru Z 9: Ginga girigiri!! Butchigiri no sugoi yatsu),738,2015-03-14,Action|Adventure|Animation|Fantasy,1.5,215
15,225,171,Godzilla Against MechaGodzilla (Gojira tai Mekagojira),728,1993-10-20,Action|Sci-Fi|Thriller,3.8,305
16,725,370,Penitentiary II,660,1991-05-23,Drama,3.3,330
17,649,343,Rosie,397,1994-10-30,Drama,5.7,153
18,469,63,Criminal,60,1994-10-25,Comedy|Drama,9.0,108
19,447,427,Eaten Alive,752,2007-04-12,Horror,3.7,617
20,291,681,Play,149,1998-06-07,Crime|Drama,8.5,635
21,694,310,Tropic Thunder,216,1998-06-19,Action|Adventure|Comedy|War,2.2,456
22,464,262,Blood and Roses (Et mourir de plaisir) (To Die with Pleasure),510,1998-10-07,Horror,4.4,262
23,109,268,"Winning Season, The",536,2024-06-15,Comedy,6.0,118
24,277,650,Orgazmo,645,1991-12-01,Comedy,3.9,362
25,620,672,Take the Trash,115,2013-06-05,Comedy,5.9,149
26,543,503,James and the Giant Peach,794,2017-01-09,Adventure|Animation|Children|Fantasy|Musical,4.0,84
27,758,380,Mrs. Palfrey at the Claremont,431,2016-06-15,Comedy|Drama,5.4,150
28,421,400,Passenger 57,383,2011-12-26,Action|Thriller,4.4,615
29,661,320,"Mighty, The",525,2016-06-27,Drama,7.3,348
30,70,453,The Girl from Nagasaki,372,2003-09-28,Drama|Romance,1.8,320
31,403,230,Flesh & Blood,510,1998-04-22,Action|Adventure|Drama|War,9.7,776
32,663,792,Cold Mountain,740,1997-10-01,Drama|Romance|War,3.0,639
33,413,560,Road House,628,1991-01-13,Drama|Film-Noir,5.2,762
34,41,82,"Descent: Part 2, The",299,1995-01-16,Adventure|Horror|Thriller,3.0,642
35,294,341,Fine-Tune,75,2003-09-02,Comedy|Drama,9.0,251
36,643,260,"Count Dracula (Nachts, wenn Dracula erwacht)",555,2011-02-04,Horror|Mystery,6.9,173
37,202,18,(A)sexual,273,2020-04-14,Comedy|Documentary|Drama,5.5,4
