ContractID,CreatorID,ProductionID,StartDate,EndDate,Payment,RoleContract
1,851,600,2006-11-07,2022-11-25,21664.83,Actor
2,681,414,2021-10-15,2024-03-18,52797.49,Co-Producer
3,204,104,2002-03-11,2027-11-26,51606.1,Supervisor
4,411,192,2019-09-03,2026-09-27,26324.22,Producer
5,22,45,2004-08-24,2027-04-07,28230.56,Co-Producer
6,447,34,2006-07-10,2022-11-03,60755.67,Producer
7,117,282,1995-05-25,2026-10-26,22352.73,Main Actor
8,476,43,2003-09-11,2026-05-13,35447.65,Writer
9,900,287,2018-06-20,2022-07-11,58740.29,Writer
10,216,168,1995-04-22,2025-08-20,31773.78,Co-Producer
11,166,440,1999-03-10,2028-08-12,56563.5,Supervisor
12,839,637,2016-02-22,2028-06-21,18906.28,Writer
13,371,232,2006-05-04,2023-09-01,30008.69,Main Actor
14,375,4,1995-05-26,2023-07-18,46494.52,Actor
15,459,159,1991-01-13,2025-04-08,11079.5,Co-Producer
16,661,329,2018-02-28,2027-08-15,26256.57,Director
17,524,460,2004-06-02,2023-05-14,75906.19,Actor
18,830,496,2001-12-18,2026-01-16,25178.66,Co-Producer
19,3,545,2010-05-04,2028-08-12,57545.92,Producer
20,531,551,2009-12-06,2025-08-04,10868.61,Actor
21,275,528,1990-08-07,2024-10-15,10588.26,Main Actor
22,471,106,2018-05-31,2025-11-03,17535.73,Actor
23,799,221,2016-02-22,2027-06-02,56341.61,Main Actor
24,172,158,1998-06-16,2026-06-05,34324.81,Producer
25,331,811,1990-07-06,2028-12-24,18233.65,Writer
26,318,484,1998-12-15,2027-09-14,73185.08,Actor
27,98,338,2010-12-02,2023-09-15,23690.39,Supervisor
28,400,398,1994-04-24,2023-02-14,27725.87,Main Actor
29,17,36,2005-06-04,2027-12-15,65012.38,Director
30,451,866,2019-03-08,2022-10-24,35093.0,Supervisor
31,716,772,2005-04-01,2024-06-29,76172.49,Producer
32,391,379,1992-01-19,2023-07-09,55678.03,Main Actor
33,141,218,2009-11-08,2026-03-11,65345.52,Director
34,699,610,1999-07-17,2026-04-06,42105.59,Actor
35,382,440,1993-08-12,2025-12-02,28424.46,Director
36,578,533,2004-10-16,2027-03-22,14436.92,Writer
37,717,121,1997-03-19,2028-03-08,12091.86,Main Actor
38,754,823,1990-11-28,2029-03-29,67804.55,Director
39,104,722,2010-09-29,2028-01-04,62330.42,Writer
40,810,237,2010-08-31,2028-02-23,60914.02,Writer
41,796,306,2018-02-15,2026-10-08,64919.2,Supervisor
42,495,552,1990-10-17,2022-08-08,72861.65,Supervisor
43,377,79,2007-05-11,2027-06-24,50738.99,Writer
44,40,28,2014-07-14,2027-10-05,30968.02,Director
45,48,260,2012-01-11,2024-12-04,40070.39,Supervisor
46,483,77,2003-09-21,2023-12-19,22444.87,Main Actor
47,862,724,2001-10-17,2028-03-22,66533.5,Writer
48,325,366,1999-04-14,2029-02-13,47045.48,Supervisor
49,182,561,1993-08-30,2027-04-03,63465.32,Supervisor
50,120,314,2005-02-18,2029-01-19,51283.9,Director
51,535,559,2014-09-16,2026-11-24,38475.53,Producer
52,431,389,2003-01-18,2027-07-16,21672.73,Producer
53,191,751,1994-06-28,2028-08-26,68888.79,Co-Producer
54,272,194,1991-10-03,2025-03-18,32594.6,Director
55,616,243,2012-12-12,2024-10-11,33815.15,Actor
56,306,714,2020-08-23,2023-11-21,61699.31,Main Actor
57,713,317,2003-09-27,2023-06-19,44833.9,Director
58,679,119,2006-07-24,2023-08-21,14777.75,Actor
59,458,234,2009-09-04,2022-05-31,59134.42,Main Actor
60,43,64,1995-06-12,2023-11-07,52217.46,Writer
61,685,701,1999-05-20,2028-09-24,67376.66,Director
62,297,198,2003-08-25,2026-11-17,51211.14,Writer
63,99,756,1999-07-03,2027-09-27,28438.92,Writer
64,732,500,2020-09-12,2023-02-04,23529.83,Main Actor
65,654,305,2011-05-06,2024-06-05,42669.44,Actor
66,141,240,2001-08-02,2026-01-23,34553.49,Supervisor
67,673,829,2015-03-30,2023-02-17,67389.7,Co-Producer
68,710,785,2015-04-14,2023-01-10,15550.2,Supervisor
69,687,684,2017-09-29,2024-09-28,17988.48,Co-Producer
70,896,658,1992-09-01,2029-03-07,58783.07,Main Actor
71,323,209,2001-11-10,2026-05-11,34672.06,Producer
72,116,347,2001-12-29,2022-08-26,75589.55,Director
73,685,620,1994-12-22,2024-08-17,71766.96,Writer
74,797,630,2002-08-16,2022-09-16,66015.63,Co-Producer
75,774,700,2005-03-19,2027-11-22,33285.76,Actor
76,711,318,2000-11-29,2027-08-05,41562.51,Main Actor
77,128,679,2001-11-20,2028-02-18,60051.09,Main Actor
78,353,759,2014-02-04,2023-11-30,65973.22,Writer
79,474,604,2011-04-11,2028-03-05,65746.84,Producer
80,529,620,2005-05-02,2025-11-15,47375.33,Main Actor
81,830,366,1994-09-09,2025-09-11,34793.12,Main Actor
82,435,733,1996-02-17,2026-01-20,58453.53,Actor
83,231,670,1993-10-04,2027-05-28,60424.05,Producer
84,396,168,2016-11-05,2028-04-02,14138.12,Producer
85,503,816,1997-04-25,2026-09-03,37431.69,Director
86,167,374,2003-03-12,2023-03-12,38640.9,Co-Producer
87,454,454,1995-10-17,2029-02-09,15945.29,Main Actor
88,57,146,1994-03-31,2027-05-14,25105.3,Main Actor
89,157,116,2016-04-03,2022-12-12,69792.13,Main Actor
90,653,786,2003-10-28,2027-09-22,44432.96,Supervisor
91,718,542,1998-06-23,2025-05-22,29547.75,Main Actor
92,295,224,2004-06-06,2023-08-11,33404.46,Co-Producer
93,773,372,2011-01-21,2025-03-27,52150.49,Actor
94,529,610,2021-05-14,2023-11-21,21768.64,Co-Producer
95,603,712,1996-07-15,2024-04-28,60391.0,Writer
